link,link_part,fl,ascents_per_day,ascents,last_dt,first_dt,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,lat,lon
42,"<a href=""https://www.8a.nu/crags/sportclimbing/france/demi-lune-x21un"" target=""_blank"">france/demi-lune-x21un</a>",france/demi-lune-x21un,🇫🇷,4.5683060109289615,1672,2024-12-26 12:00:00,2024-01-01 12:00:00,1.4000000000000001,0.4,1.0999999999999999,2.4,9.9,19.1,28.299999999999997,24.099999999999998,8.4,2.5,2.5,0.1,44.498864,5.950354
43,"<a href=""https://www.8a.nu/crags/sportclimbing/austria/ewige-jagdgruende"" target=""_blank"">austria/ewige-jagdgruende</a>",austria/ewige-jagdgruende,🇦🇹,4.554644808743169,1667,2024-11-20 12:00:00,2024-01-01 12:00:00,0.4,0.1,2.0,7.9,10.100000000000001,6.800000000000001,18.2,34.699999999999996,10.5,4.9,4.3,0.0,47.066019,11.752579
44,"<a href=""https://www.8a.nu/crags/sportclimbing/poland/podzamcze-gora-zamkowa"" target=""_blank"">poland/podzamcze-gora-zamkowa</a>",poland/podzamcze-gora-zamkowa,🇵🇱,4.53551912568306,1660,2024-12-26 12:00:00,2024-02-08 12:00:00,0.0,0.7000000000000001,6.0,10.4,22.5,14.099999999999998,15.0,13.700000000000001,9.8,7.000000000000001,0.6,0.2,50.452403,19.553294
45,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/sea-breeze"" target=""_blank"">greece/sea-breeze</a>",greece/sea-breeze,🇬🇷,4.494535519125683,1645,2024-12-29 12:00:00,2024-02-10 12:00:00,0.0,0.2,2.4,12.5,15.2,4.9,6.3,3.5000000000000004,17.2,27.6,8.799999999999999,1.4000000000000001,37.017864,26.967453
46,"<a href=""https://www.8a.nu/crags/sportclimbing/turkey/trebenna-west"" target=""_blank"">turkey/trebenna-west</a>",turkey/trebenna-west,🇹🇷,4.472677595628415,1637,2024-12-31 12:00:00,2024-01-01 12:00:00,8.200000000000001,9.5,10.0,17.9,7.000000000000001,0.8999999999999999,0.0,0.1,1.0,11.700000000000001,26.5,7.3,36.872427,30.478399
47,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/cueva-de-la-zarza"" target=""_blank"">spain/cueva-de-la-zarza</a>",spain/cueva-de-la-zarza,🇪🇸,4.461748633879782,1633,2024-12-30 12:00:00,2024-01-01 12:00:00,4.3999999999999995,3.2,4.2,10.7,18.9,14.899999999999999,10.6,4.7,10.4,6.9,9.4,1.7999999999999998,40.080098,-2.114213
48,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/coll-de-nargo-41414-verrev"" target=""_blank"">spain/coll-de-nargo-41414-verrev</a>",spain/coll-de-nargo-41414-verrev,🇪🇸,4.448087431693989,1628,2024-12-31 12:00:00,2024-01-01 12:00:00,15.9,10.8,7.5,3.5999999999999996,2.8000000000000003,2.4,2.3,2.4,3.9,11.899999999999999,16.8,19.7,42.177112,1.30527
49,"<a href=""https://www.8a.nu/crags/sportclimbing/greece/arhi"" target=""_blank"">greece/arhi</a>",greece/arhi,🇬🇷,4.415300546448087,1616,2024-12-31 12:00:00,2024-01-04 12:00:00,1.6,1.7999999999999998,4.8,11.1,15.7,3.2,3.5000000000000004,5.6000000000000005,11.600000000000001,18.6,18.6,4.0,37.020852,26.965225
50,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/teverga"" target=""_blank"">spain/teverga</a>",spain/teverga,🇪🇸,4.344262295081967,1590,2024-12-29 12:00:00,2024-01-01 12:00:00,3.0,1.6,3.0,4.5,2.8000000000000003,5.3,25.0,37.2,7.000000000000001,4.3999999999999995,4.2,2.1,43.175089,-6.089234
51,"<a href=""https://www.8a.nu/crags/sportclimbing/spain/pinell-de-brai"" target=""_blank"">spain/pinell-de-brai</a>",spain/pinell-de-brai,🇪🇸,4.218579234972678,1544,2024-12-30 12:00:00,2024-01-01 12:00:00,4.3999999999999995,6.3,17.2,13.700000000000001,12.8,12.0,5.1,3.8,5.1,5.2,6.5,7.8,41.038429,0.489929
